Category,Job Role,Location,Job Description,Required Skills,MIn Salary(INR/year) in lpa,Max Salary(INR/year) in lpa,Average salary,Company
Service / Field,Service Technician – Construction Equipment,India,Provide field service for Liebherr equipment and machines.,"Troubleshooting, field operations",6,10,8,Liebherr
Software / AI,Software Engineer – Manufacturing Automation,Bengaluru / India,Develop automation software for manufacturing lines.,"Python/Java, Automation, PLC Interfaces",14,35,24.5,Applied Materials
Software / AI,Software Engineer – Machine Learning,Bangalore,"Develop large-scale AI tools for ByteDance apps (TikTok, Lark).","Python, ML, TensorFlow",18,22,22,ByteDance
Software / Avionics,Avionics Software Engineer – Flight Systems,India / Remote,Develop software for flight avionics and launch systems.,"C/C++, embedded systems, aerospace domain",18,28,23,Blue Origin
Software / Backend,Senior Backend Engineer – Loki,Remote / India,Develop core backend systems for Grafana’s observability stack. (jobs.leadedge.com),"Java, Microservices, Databases",45,70,57.5,Grafana Labs
Software / Backend,Lead Full-Stack Engineer,Bengaluru / India,Build and lead development of web/back-end systems at Fidelity. (Fidelity Careers),"JavaScript/Node or Java, Cloud, APIs, SQL",18,20,19,Fidelity Investments
Software / Backend,Engineer – Backend,"Bengaluru, Karnataka",Build backend services for Target India’s technology engineering division. (Target Corporation),"Java/C#, REST APIs, databases",12,18,15,Target Corporation
Software / Backend,Software Engineer – Remote Apps,India / Remote,Build and maintain backend services and API for the company’s software products.,"Java/Python, APIs, SQL, Git",12,20,16,Citrix (Cloud Software Group)
Software / Backend,Java Developer,"Bangalore, India",Build backend services for airline reservation systems.,"Java, Spring Boot, APIs",10,20,20,Amadeus
Software / Backend,Java Developer,Pune / Chennai,Build scalable banking platforms.,"Java, Spring Boot, REST APIs",12,30,30,BNY Mellon
Software / Backend,Software Engineer – Storage Platforms,India,Build backend services for storage & data platforms at Western Digital.,"Java/C#, APIs, Databases",13,21,21,Western Digital
Software / Cloud,Software Engineer – Global Cloud Services,Bengaluru / India,Build global cloud services and core platform at Microsoft India. (Microsoft Careers),"C#, Azure, Distributed Systems",20,18,19,Microsoft
Software / Cloud,Software Engineer – OTT / Cloud Platform,"India (e.g., Bengaluru)",Develop cloud/streaming platform features at Amagi. (amagi.com),"JavaScript/Python/Go, REST APIs, cloud fundamentals",11,35,23,Amagi
Software / Cloud,Software Engineer (India),"Bengaluru, India",Build software tools to deliver digital services at IHS Markit.,"Java/Scala, APIs, Cloud, Git",10,18,14,IHS Markit
Software / Cloud,Software Engineer (Java/.NET),"Hyderabad, India",Build and maintain ADP’s payroll and HR platforms.,"Java, Spring Boot, SQL, APIs",10,19,19,ADP
Software / Dev,Software Engineer – Storage Platform,India,Develop software solutions for Micron’s storage architecture.,"C++, Python, Systems design, Databases",14,20,17,Micron Technology
Software / Dev,Software Engineer – Travel Platform,Gurgaon / India,Build features and backend for travel platform at Expedia Group.,"Java/Node.js, REST APIs, Databases",13,18,15.5,Expedia Group (Expedia Group | Careers)
Software / Dev,Software Developer – Banking Apps,Pune / Chennai,Build secure banking applications for internal and external users.,"Java, SQL, APIs",12,22,22,Citi
Software / Dev,Backend Developer – Microservices,India,Develop microservices for KeyValue Systems’ technology stack.,"Java/Kotlin, Microservices, Databases",11,22,22,KeyValue Systems
Software / Development,Software Engineer – iOS / macOS,India / Remote,"Build apps/features for Apple’s platforms (iPhone, iPad, Mac).","Swift/Objective-C, APIs, UI frameworks",22,,22,Apple
Software / Development,Software Development Engineer (SDE I),India,Build features for Amazon’s platform & services. (Levels.fyi),"Java/Node.js, APIs, databases, problem-solving",20,,20,Amazon
Software / Development,Software Engineer – Streaming Platform,India / Remote,"At Netflix, build parts of their streaming platform for India region.","JavaScript/Java, Microservices, Cloud",18,18,18,Netflix
Software / Development,Software Engineer – Lithography Systems,Bengaluru / India,Develop software for ASML’s photolithography hardware systems.,"C++, Python, Systems understanding",18,22,20,ASML
Software / Development,Software Engineer – Network Security,India / Remote,"At Palo Alto Networks, build security products and platforms.","Python/Go, Network Security, Cloud",16,24,20,Palo Alto Networks
Software / Development,Software Engineer – Embedded / Systems,India,Develop embedded software for networking and edge devices at Cradlepoint.,"C/C++, Embedded Systems, Linux",15,18,16.5,Cradlepoint
Software / Development,Software Engineer – AI / Analytics Platform,India,Work at Memory AI building AI/analytics software products.,"Python, ML fundamentals, Data pipelines",15,18,16.5,Memory AI (LinkedIn)
Software / Development,Software Engineer – Cloud & Enterprise Apps,India / Remote,Build features for Atlassian’s work-collaboration software.,"JavaScript/Node.js or Java, APIs, Databases",15,20,17.5,Atlassian
Software / Development,Software Engineer – Embedded / Digital Reality,India,"Work at Hexagon on software for digital reality, manufacturing & geospatial solutions.","C#/C++, .NET/Java, systems understanding",14,19,16.5,Hexagon (hexagon.com)
Software / Development,Software Engineer – Backend / Payments,India,"Build backend services for Stripe’s payments, billing & financial-infrastructure tools.","Java/Kotlin/Node, REST APIs, Databases",14,22,18,Stripe Inc.
Software / Development,Software Developer – Financial Platforms,India / Remote,Build software solutions for financial & investment platforms.,"Java/C#, APIs, SQL",14,18,16,AQR
Software / Development,Software Engineer – PC & Devices,India,"At Lenovo, build software for PCs, mobile & smart devices.","C/C++, Java, Android/iOS, Embedded Systems",13,22,17.5,Lenovo
Software / Development,Software Engineer – Data Security & Analytics,India,"At Protegrity (data security company), build tools for protecting data.","Python/Java, Security, APIs, Cloud",13,20,16.5,Protegrity
Software / Development,Software Engineer – Digital Banking Platform,India,"At NatWest Group (India), build new digital banking services.","Java/React, APIs, Cloud",13,22,17.5,NatWest Group
Software / Development,Software Engineer – eCommerce Platform,India,"At Nike India, build backend/front-end for online retail & product systems.","JavaScript/Node.js, APIs, Databases",13,30,21.5,Nike
Software / Development,Software Engineer – Creative Software,India,Develop creative tools and software experiences for digital media. (Adobe),"JavaScript, C++, UI frameworks",13,22,17.5,Adobe
Software / Development,Senior Software Engineer,"Bengaluru, India","At FamPay (neobank app for teens), build core features for mobile/web payments. (Wellfound)","Kotlin/Java/React, APIs, FinTech interest",12,26,19,FamPay
Software / Development,Full-Stack Developer,"Bengaluru, India",Develop web & backend systems for Fractal’s analytics platform.,"JavaScript/Node, Databases, APIs",12,20,16,Fractal Analytics
Software / Development,Software Engineer – Hardware & Systems,"India (e.g., Bangalore)","Build software for HP’s computers, printers and hardware systems.","C/C++, Embedded/Systems, APIs",12,20,16,HP Inc.
Software / Development,Software Engineer – Security & Risk,India,"At Koch Industries, build software to manage risk & security.","Java/Python, Security concepts, APIs",12,20,16,Koch Industries
Software / Development,Software Engineer – Backend Systems,India,"At Upstox (FinTech trading platform), build backend services for trading & investment.","Java/Kotlin, APIs, Databases",12,24,18,Upstox
Software / Development,Backend Engineer – FinTech Platform,India,Build backend services and APIs for the digital insurance platform.,"Java/Kotlin, REST APIs, Databases",12,22,17,Acko
Software / Development,Software Engineer – Simulation & CAE Tools,India,Build simulation and engineering-software tools at Ansys.,"C++, Python, CAE domain knowledge",12,18,15,Ansys
Software / Development,Software Engineer – Digital Banking Platform,India,Build software for Axis Bank’s digital banking and fintech services.,"Java/Kotlin, APIs, Databases",12,16,14,Axis Bank
Software / Development,Full-Stack Engineer – FinTech Platform,India,"At Jupiter (FinTech), build front & backend for digital banking.","React/Node.js, APIs, Databases",11,20,15.5,Jupiter Financial
Software / Development,Software Engineer – Cloud & Native Apps,India / Remote,Join HashedIn by Deloitte to build cloud-native applications for clients.,"Java/Spring, microservices, cloud",10,22,16,HashedIn by Deloitte (hashedin.com)
Software / Development,Full-Stack Developer – InsurTech Platform,India,Build web & backend features for Digit’s insurance-tech platform.,"JavaScript/Node.js, React/HTML-CSS, Databases",10,30,20,Digit Insurance (Uplers)
Software / Development,Full-Stack Engineer – SaaS Platform,India / Remote,Build SaaS product features for Zoho’s business application suite.,"JavaScript/Node.js, Databases, APIs",10,20,15,Zoho Corporation
Software / Development,Software Engineer – Application Development,India,Develop software applications for clients and internal systems. (Accenture),"Java, APIs, Databases, Git",10,35,22.5,Accenture
Software / Development,Software Engineer – IT Systems,India,Develop IT applications and custom solutions for clients.,".NET/Java, SQL, APIs",9,22,15.5,Accolite
Software / Development,"Software Developer (Java/J2EE, REST API)","Bengaluru, India",Develop backend services and APIs for SAP’s enterprise software. (SAP Jobs),"Java/J2EE, REST APIs, Spring/Hibernate",12,28,28,SAP
Software / Development,Full-Stack Engineer – Platform,India,Develop cloud-native applications for ZS’s product teams. (ZS),"JavaScript/Node.js, Cloud, Microservices",12,24,24,ZS Associates
Software / Development,Software Engineer – SaaS Platform,India / Remote,Develop cloud-native SaaS applications at Khoros for digital engagement.,"JavaScript/Node.js, Cloud, APIs",12,20,20,Khoros
Software / DevOps,Principal Cloud Engineer – Data & AI,"Bengaluru, Karnataka",Lead cloud engineering for data & AI platforms at Equinix. (careers.equinix.com),"AWS/GCP, Cloud architecture, Data & AI platforms",25,40,32.5,Equinix
Software / DevOps,Site Reliability Engineer (SRE),Bengaluru / Remote,Ensure reliability and scalability of FamPay’s platform infrastructure.,"Linux, Cloud, Monitoring tools",15,,15,FamPay
Software / DevOps,DevOps Engineer – Cloud / Hosting,India,"Manage cloud infrastructure, CI/CD and deployment for a digital agency platform.","Docker/Kubernetes, AWS/Azure, Linux",10,16,13,Obvious.in
Software / Embedded,Software Developer (C++) – Trading Infrastructure,India (Gurgaon),Develop low-latency C++ systems for Tower Research’s market-data and execution infrastructure.,"C++, multi-threading, network programming",19,17,18,Tower Research Capital
Software / Embedded,Firmware Engineer – Platform Systems,Bengaluru / India,Develop firmware for Intel’s platform/chip solutions.,"C/C++, embedded systems, real-time software",15,18,16.5,Intel
Software / Embedded,Embedded Software Engineer – EDA Tooling,India,Develop embedded/software tools for Synopsys’ EDA platform. (Synopsys Careers),"C/C++, Software design, domain knowledge",15,21,18,Synopsys
Software / Embedded,Firmware Engineer – Semiconductor Tools,India / Remote,Develop firmware for Lam Research’s equipment.,"C/C++, Embedded systems, Real-time control",14,17,15.5,Lam Research
Software / Embedded,Embedded Software Engineer – Automotive Systems,India / Hybrid,Develop software for Continental’s automotive systems & vehicle technologies.,"C/C++, Embedded systems, Automotive domain",13,20,16.5,Continental AG
Software / Embedded,Embedded Software Engineer – Telecom Systems,India,Develop embedded software for telecom and networking equipment at Ericsson.,"C/C++, Embedded systems, RTOS fundamental",13,18,15.5,Ericsson
Software / Embedded,Embedded Systems Engineer – Satellites/Launch,India,Develop embedded systems/software for satellite or launch vehicle subsystems at ISRO.,"C/C++, embedded systems, aerospace awareness",12,24,18,ISRO
Software / Embedded,Embedded Software Engineer – Automotive ECUs,India,Develop embedded software for vehicle ECUs/systems at Jaguar Land Rover.,"C/C++, embedded systems, automotive knowledge",12,20,16,Jaguar Land Rover
Software / Embedded,Embedded/Control Systems Engineer,India,Develop control/embedded software for Tata Advanced Systems’ products.,"C/C++, Embedded systems, real-time control",12,20,16,Tata Advanced Systems
Software / Embedded,Firmware Engineer – UAV Systems,India,Develop firmware for drone/UAV hardware at IdeaForge.,"C/C++, Embedded Linux/RTOS, Systems knowledge",11,18,14.5,IdeaForge Technologies
Software / Embedded,Embedded Software Engineer,India,Develop firmware for industrial automation systems at Keyence.,"C/C++, Embedded Linux/RTOS",11,22,16.5,Keyence India
Software / Embedded,Software Quality Engineer – Avionics,"Hyderabad, India",Test avionics software for aerospace launch systems.,"Software testing, avionics fundamentals, embedded knowledge",10,23,16.5,Skyroot Aerospace
Software / Embedded,Embedded Software Engineer – Mixed-Signal,India,Develop embedded software for analog/mixed-signal systems at Analog Devices. (Glassdoor),"C/C++, embedded, systems knowledge",10,20,15,Analog Devices
Software / Embedded,Embedded Software Engineer – Defence Electronics,India,Develop embedded software for defence electronics and weapons systems.,"C/C++, Embedded Linux/RTOS, Systems Knowledge",10,29,19.5,DRDO
Software / Engineering,Software Engineer – Financial Planning Tool,India,Develop features for Planful’s planning & finance software platform.,"Java/JavaScript, APIs, Databases",14,22,18,Planful
Software / Hardware,Software Engineer – Connectivity Systems,India,Build software for TE Connectivity’s hardware & IoT modules.,"C/C++, Embedded Systems, IoT",13,22,17.5,TE Connectivity
Software / IoT,IoT Software Engineer – Smart Building Systems,India / Remote,Build software for IoT/smart-building control systems at Crestron.,"Python/JavaScript, IoT protocols, APIs",13,21,17,Crestron Electronics
Software / Logistics,"Software Engineer, iOS",Pune,Build and maintain iOS apps for on-demand delivery marketplace.,"Swift, iOS frameworks, APIs",14,25,19.5,DoorDash (Greenhouse)
Software / Mobile,Mobile App Developer – Jio,Mumbai / India,Build and improve mobile applications for Jio’s services and users.,"Kotlin/Java, Android SDK, APIs",12,22,17,Jio
Software / Network / Security,Network Engineer – Core/Edge Networks,Bengaluru / India,Design and support network infrastructure for Juniper Networks.,"Networking, routers/switches, enterprise networks",13,20,16.5,Juniper Networks
Software / Networking,Software Engineer – High Performance Networking,India / Remote,Build network software for Arista’s high-speed switching platforms.,"C++/Python, Networking, Systems design",16,20,18,Arista
Software / Networking,Software Engineer (Network Security),Bangalore,Develop secure networking products for Cisco platforms.,"Python, C, Networking Concepts",12,24,24,Cisco
Software / Productivity Tools,Software Engineer – SaaS,India / Remote,Develop SaaS features for business productivity tools.,"C#, JavaScript, Cloud, APIs",14,22,18,Zoho Corp (careers.zohocorp.com)
Software / Systems,Senior Systems Engineer – RAN,India / Multiple Locations,Design and optimise radio access network systems for Viasat. (Viasat Careers),"Radio Access Networks, Systems Engineering",14,22,18,Viasat
Software / Systems,Software Engineer – Platform Services,India / Remote,Develop cloud-native services and tools for Cloudera’s data management platform.,"Java/Go, Microservices, Cloud",14,22,18,Cloudera
Software / Systems,Firmware/Hardware Engineer – Storage Devices,India,At Micron Technology build firmware or hardware systems for storage devices.,"C/C++, Embedded Systems, Hardware debug",12,20,16,Micron Technology
Software / Systems,Embedded Hardware Design Engineer,"Hyderabad, India",Design hardware/embedded systems for aerospace use at a private space firm.,"Embedded C/C++, hardware design, systems knowledge",12,20,16,Skyroot Aerospace (skyroot.in)
Software / Systems,Firmware/Embedded Engineer – Security/Detection Devices,India,Develop embedded/software systems for Smiths Detection’s security technologies.,"C/C++, Embedded systems, Security domain",12,20,16,Smiths Detection
Software / Systems,Systems Engineer,"Bangalore, India",Develop systems and software for aviation applications.,"C/C++, MATLAB, RTOS",12,22,22,Boeing
Software / Systems,Systems Engineer,India,Work on Unisys’s enterprise infrastructure & security systems.,"Linux/Windows Server, Scripting, Networking",12,20,20,Unisys
Software / Validation,Validation / Characterization Engineer,"Bengaluru, Karnataka",Verify that hardware products behave correctly and meet specifications.,"Test methodologies, scripting, measurement equipment",9,15,12,Texas Instruments
Software / Web,Software Engineer – E-commerce Platform,Singapore / SEA region,Build web services and APIs for Shopee’s e-commerce marketplace.,"Node.js/Java, React, APIs, Scalable systems",18,18,18,Shopee
Software / Web,Senior Full-Stack Engineer,Remote / US/India,Build collaboration software for global teams.,"React/Node.js, Cloud, APIs",15,22,18.5,Chronus (chronus.com)
Software / Web,Software Engineer,India / Remote,Develop features for GoPro’s hardware and software ecosystem. (jobs.gopro.com),"C++/Python/JavaScript, Embedded systems knowledge",14,20,17,GoPro
Software / Web,Software Engineer,India / Remote,Build and features for LinkedIn’s web platform and services in India.,"JavaScript, React, Backend APIs",12,18,15,LinkedIn
Software / Web,Backend Engineer – Travel Tech,Bengaluru / India,Build backend systems for MakeMyTrip’s travel portal and apps.,"Java, Spring Boot, REST APIs",12,19,15.5,MakeMyTrip
Software / Web,Software Engineer – Marketplace Platform,India (Gurugram),Build and maintain Droom’s auto marketplace platform features for users/sellers.,"Java/Python, APIs, Databases",11,18,14.5,Droom (LinkedIn)
Software / Web,Full-Stack Developer,Gurugram / India,Build both frontend and backend parts of the IndiaMART marketplace platform.,"JavaScript, Node.js, React, Databases",10,18,14,IndiaMART
Software / Web,Full-Stack Developer – Retail / Tech,India,At Lenskart build web/mobile experiences for eyewear retail & omni-channel business.,"React/Node.js, APIs, databases",10,18,14,Lenskart (careers.lenskart.com)
Software / Web,Software Engineer – Collaboration Platform,Remote / India-eligible,Write code for Chronus’s talent development & mentorship SaaS platform.,"JavaScript/React, Node.js, Cloud",10,25,17.5,Chronus
Software / Web,Full-Stack Developer,Bengaluru / India,Build e-commerce features for a fashion / lifestyle portal.,"JavaScript/Node.js, React, Databases",10,16,13,Zivame (careers.zivame.com)
Software / Web,Software Engineer – Web Apps,India,Build web applications and integrations for HR/People tools.,"JavaScript/React, Node.js, REST APIs",10,15,12.5,Bounce / PeopleStrong (careers-bounce.peoplestrong.com)
Software / Web,Software Engineer – Industrial IoT,India,Build software that connects industrial machines & collects data.,"Python/JavaScript, IoT frameworks, Cloud",10,18,14,ClearGlass
Software / Web,Software Development Engineer II (Data Platform),"Gurgaon, India",Build backend/data-platform tools to support Urban Company’s service ecosystem.,"Java/Node, Databases, Data platform knowledge",10,18,14,Urban Company (LinkedIn)
Software / Web,Full-Stack Developer,"Bengaluru, Karnataka",Build both frontend and backend parts of Udaan’s marketplace app.,"React/Node.js, Databases, REST APIs (careers.dev.udaan.com)",10,18,14,Udaan
Software / Web,Full-Stack Developer,"Bengaluru, India",Build both frontend and backend parts of Myntra’s platform.,"React/Node.js, Databases, REST APIs",10,20,15,Myntra (careers.myntra.com)
Software / Web,Software Engineer – Logistics Platform,India,Build software to support Shiprocket’s logistics and fulfilment platform.,"Go/Java, Microservices, Databases",10,30,20,Shiprocket
Software / Web,Full-Stack Developer,Bengaluru / India,Build web & backend features for Furlenco’s furniture-rental platform. (Prosple India),"React/Node.js, Databases, APIs",10,18,14,Furlenco
Software / Web,Front-end Engineer – Marketplace Platform,India / Remote,Build the front end of creator-economy marketplace at Contra.,"React, JavaScript, HTML/CSS",9,22,15.5,Contra (contra.com)
Software / Web,Frontend Developer – SaaS Platform,India,Build UI components for Sendinblue’s SaaS product.,"JavaScript/React, HTML/CSS, APIs",10,16,16,Sendinblue
Software / Web,Software Engineer – Marketplace Platform,India,Work on Jumbotail’s B2B marketplace web & mobile features.,"React/Node.js, APIs, Databases",11,18,18,Jumbotail
Software / Web,Full-Stack Developer – Mobile/Payment App,India,Build frontend & backend for KhataBook’s mobile payments and bookkeeping app.,"React/Node.js, MongoDB, APIs",10,18,18,KhataBook
Software / Web,Software Engineer – Backend/Full-Stack,India,Build lending-platform features for student loans & fintech at Leap.,"Python/JavaScript, APIs, Databases",11,18,18,Leap Finance
Software / Web Dev,Software Engineer,Remote / India-eligible,Build features and tools for Discord’s communication platform. (Glassdoor),"JavaScript/Node.js, WebRTC, real-time systems",80,,80,Discord
Software / Web Dev,Software Engineer,India (Bengaluru),Build software tools and platforms for Databricks’ data-&-AI products. (Levels.fyi),"Python/Java, cloud, large scale systems",50,30,40,Databricks
Software / Web Dev,Software Engineer – Data Protection Platform,India,Build software features for Rubrik’s data-protection/cloud platform. (Levels.fyi),"Java/Python, Cloud/Storage domain",34,160,97,Rubrik
Software / Web Dev,Software Engineer – SaaS Platform,India (Bengaluru),Develop features for Rippling’s HR/FinTech SaaS platform. (Glassdoor),"JavaScript/Node.js, APIs, SaaS domain",22,150,86,Rippling
Software / Web Dev,Lead Engineer – Ad Tech,"Bengaluru, Karnataka",Build and lead engineering for Target’s ad-tech platforms. (Target Corporation),"Java/Scala, ad-tech knowledge, leadership",20,20,20,Target Corporation
Software / Web Dev,Software Engineer – High-Frequency Trading Platform,India / Remote,Build backend systems for Citadel’s trading infrastructure.,"C++/Java, low-latency systems, algorithms",20,22,21,Citadel
Software / Web Dev,Software Engineer – Electronic Trading Systems,India / Remote,Build systems for algorithmic trading at Citadel Securities.,"C++/Java, algorithms, trading domain",20,18,19,Citadel Securities
Software / Web Dev,Software Engineer – Trading Platform,India / Remote,Build algorithmic/trading tools for Graviton Trading.,"Python/C++, Algorithms, Financial modelling",20,18,19,Graviton Trading
Software / Web Dev,Full-Stack Engineer – Social / VR Platform,India / Remote,"Build front/back-end for Meta’s products (e.g., social, VR).","JavaScript/React, APIs, Databases",20,18,19,Meta Platforms
Software / Web Dev,Blockchain Developer – Web3,India / Remote,Develop blockchain applications and smart contracts for Polygon network.,"Solidity, Web3, JavaScript",18,18,18,Polygon Technology
Software / Web Dev,Software Engineer – AI/ML Platform,India / Remote,Build AI/ML software tools at Quantiphi for enterprise solutions.,"Python, ML, APIs",18,18,18,Quantiphi
Software / Web Dev,Blockchain / Web3 Full Stack Engineer,India / Remote,Develop Web3 applications for Polygon’s blockchain ecosystem.,"Solidity/JavaScript, Web3, APIs",18,18,18,Polygon Technology
Software / Web Dev,Software Engineer – Crypto Wallet & Trading,India / Remote,Build backend/frontend functionality for Coinbase’s crypto trading/wallet platform.,"JavaScript/Node.js, APIs, Crypto fundamentals",18,20,19,Coinbase
Software / Web Dev,Software Engineer – Trading Systems,India / Remote,Build backend systems for low-latency trading & finance platforms.,"C++/Java, APIs, algorithms",18,16,17,Goldman Sachs
Software / Web Dev,Software Engineer – Backend Systems,India (Bengaluru),Build backend software for NVIDIA’s high-performance computing and AI platforms.,"Java/C++/Python, APIs, Systems knowledge",18,20,19,NVIDIA
Software / Web Dev,Software Engineer – Low-Latency Trading Platform,India (Gurgaon),Build backend and high-performance systems for Tower Research’s trading infrastructure. (Tower Research Capital),"C++/Java, data structures & algorithms, Python, Linux",18,25,21.5,Tower Research Capital
Software / Web Dev,Software Engineer – Real-Time Analytics,India / Remote,Build real-time data analytics tools for Dataminr’s information-alert platform.,"Python/Java, Big Data, Streaming Systems",17,22,19.5,Dataminr
Software / Web Dev,Software Engineer – Payments Platform,India,Build backend services/features for Mastercard’s payment network.,"Java/Node.js, APIs, Databases",17,30,23.5,Mastercard
Software / Web Dev,Software Engineer – Embedded Systems,India,Develop embedded software for Qualcomm’s hardware platforms.,"C/C++, Embedded Linux/RTOS, systems programming",17,22,19.5,Qualcomm
Software / Web Dev,Software Engineer – Crypto/Blockchain,India / Remote,Build backend systems for CoinSwitch’s crypto & trading platform.,"Node.js/Go, APIs, Databases, Blockchain basics",16,23,19.5,CoinSwitch Kuber
Software / Web Dev,Software Engineer – Blockchain / Web3,India,Build decentralized applications and smart contract interfaces.,"JavaScript, Rust/Go, Web3 technologies",16,28,22,Affinidi
Software / Web Dev,Software Engineer – Game Engine Systems,India / Remote,Work on game engine systems and tools at Epic Games.,"C++, Game engine knowledge, Systems programming",16,22,19,Epic Games
Software / Web Dev,Software Engineer – Platform Services,India / Remote,Develop core services and APIs for F5’s platform.,"Go/Java, microservices, cloud APIs",16,25,20.5,F5
Software / Web Dev,Software Engineer – Enterprise SaaS Platforms,India,Build features for ServiceNow’s enterprise cloud-services.,"JavaScript/Java, APIs, Cloud",16,26,21,ServiceNow
Software / Web Dev,Software Engineer,India,Build and maintain backend & frontend systems for PayU’s payment platform.,"Java/Python, REST APIs, Databases",15,20,17.5,PayU (Indeed)
Software / Web Dev,Software Engineer – AdTech Platform,India / Remote,Build backend & frontend systems for PubMatic’s ad-tech platform.,"JavaScript/Node.js, APIs, Databases",15,18,16.5,PubMatic
Software / Web Dev,Software Engineer – FinTech Platform,India / Remote,Build backend & frontend features for Razorpay’s payments platform.,"Java/Kotlin/Node, APIs, Databases",15,18,16.5,Razorpay
Software / Web Dev,Software Engineer – Edge Infrastructure,India,Build edge computing and web infrastructure features for content network.,"C++/Go/Java, APIs, Systems programming",15,16,15.5,Akamai
Software / Web Dev,Software Engineer – Security / Edge Platform,Bengaluru / India,Develop features for Cloudflare’s edge compute & security platform that serves millions of sites.,"JavaScript/Go/Python, APIs, Security fundamentals",15,20,17.5,Cloudflare
Software / Web Dev,Software Engineer – Storage / Cloud Systems,Bengaluru / India,Develop core systems for NetApp’s data infrastructure platform. (See jobs listing) (NetApp Careers),"Go/Java, microservices, cloud storage",15,18,16.5,NetApp
Software / Web Dev,Software Engineer – Backend (Payments / FinTech),"India (e.g., Bengaluru)",Build backend systems and APIs at PayPal for payments & global financial platform.,"Java/Python/Node.js, APIs, Databases",15,18,16.5,PayPal
Software / Web Dev,Software Engineer – Payments Platform,India,Build backend systems for PhonePe’s digital payments and FinTech platform. (PhonePe),"Java/Node.js, databases, APIs",15,30,22.5,PhonePe
Software / Web Dev,Software Engineer – Core Platform,India / Remote,Build backend systems for Quora’s question/answer and content-platform engine. (Quora Careers),"Java/Python, APIs, Data structures",15,18,16.5,Quora
Software / Web Dev,Software Engineer – HealthTech/Imaging Platforms,India,Develop software for Siemens Healthineers’ medical-imaging/health-tech products.,"Java/C#/Python, APIs, Healthcare domain",15,20,17.5,Siemens Healthineers
Software / Web Dev,Software Engineer – Execution/Tech Platform,India,Develop execution and trading-technology systems for WorldQuant.,"C++/Java, low-latency systems, algorithms",15,18,16.5,WorldQuant
Software / Web Dev,Software Engineer – Backend,"Bengaluru, India",Develop backend services for LG Ad Solutions’ TV & cross-device advertising systems.,"Java/Python, APIs, Databases",14,17,15.5,LG Ad Solutions
Software / Web Dev,Software Engineer – Backend,India,Build backend services and APIs for PharmEasy’s e-pharmacy & health tech.,"Java/Python, Spring Boot, Databases",14,20,17,PharmEasy (hirist.tech)
Software / Web Dev,Software Engineer – Backend,India,Build backend services for Practo’s digital healthcare platform.,"Java/Python, REST APIs, Databases",14,26,20,Practo
Software / Web Dev,Software Engineer – FinTech Platform,India / Remote,Build features for Ramp’s finance & expense-management platform.,"JavaScript/Node, APIs, Databases",14,24,19,Ramp
Software / Web Dev,Software Engineer – Healthcare Platform,India / Remote,Develop features for athenahealth’s clinical & administrative software.,"JavaScript/Node.js, APIs, Databases",14,18,16,athenahealth
Software / Web Dev,Software Engineer – Tax & Compliance Platform,India / Remote,Build features for Avalara’s tax and compliance automation software.,"JavaScript/Node.js or .NET, APIs, Databases",14,17,15.5,Avalara
Software / Web Dev,Software Engineer – Networking & Connectivity,India,Develop network software systems and connectivity for Broadcom’s platforms.,"C++/Python/Java, Networking fundamentals",14,22,18,Broadcom
Software / Web Dev,Full-Stack Engineer – Ride-Sharing Platform,UAE / India (remote-eligible),Build front + backend features for Careem’s mobility & services platform.,"React/Node.js, APIs, Databases",14,19,16.5,Careem
Software / Web Dev,Software Engineer – Wealth Tech,India / Remote,Develop wealth-management software solutions for Credit Suisse’s platform.,"JavaScript/Java, APIs, Databases",14,22,18,Credit Suisse
Software / Web Dev,Software Engineer – Security / Identity,India / Remote,Build features for Dashlane’s password manager and digital-identity platform.,"JavaScript/Node.js, APIs, Security fundamentals",14,22,18,Dashlane
Software / Web Dev,Software Engineer – Cloud Infrastructure,India / Remote,Develop features for DigitalOcean’s cloud infrastructure & services.,"Go/Java, Cloud APIs, Databases",14,18,16,DigitalOcean
Software / Web Dev,Software Engineer – Audio/Visual Platforms,India / Remote,"Develop software for Dolby’s audio, video & media technologies.","C++/Python, Media frameworks, Audio/Video domain",14,20,17,Dolby Laboratories
Software / Web Dev,Software Engineer – Cloud Storage Platform,India / Remote,Develop features for Dropbox’s cloud storage and collaboration platform.,"JavaScript/Go/Java, APIs, Databases",14,18,16,Dropbox
Software / Web Dev,Game Developer – Gameplay Systems,India / Remote,Develop gameplay and systems for games at Electronic Arts (EA).,"C++/C#, Unity/Unreal, Game design basics",14,19,16.5,Electronic Arts
Software / Web Dev,Full-Stack Developer – Trading UI/UX,India / Remote,Build front-end features for trading dashboards and UI at Graviton.,"JavaScript, React, APIs",14,20,17,Graviton Trading
Software / Web Dev,Software Engineer – Backend Services,Mumbai / India,Develop backend services for HERE’s mapping/location-platform systems. (Here),"Java/Scala, APIs, Cloud fundamentals",14,18,16,HERE Technologies
Software / Web Dev,Software Engineer – SaaS/FinTech,Bengaluru / India,Build features for Intuit’s financial software/platforms.,"JavaScript/Java, REST APIs, Databases",14,20,17,Intuit
Software / Web Dev,Software Engineer – Network OS/Software,Bengaluru / India,Develop software for Juniper’s network operating systems/platforms.,"C/C++/Python, Networking, System software",14,18,16,Juniper Networks
